Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","BC-2018-TR","BAT_BC-2018-TR",-70.459600,-93.472000,0.000000,bottom
"BT1","BC-2018-TR","BAT_BC-2018-TR",-70.459600,-93.472000,0.000000,bottom
"C1","0.1u","C_0402_1005Metric",-87.630000,-93.472000,90.000000,bottom
"C2","0.1u","C_0402_1005Metric",-85.598000,-82.423000,113.500000,bottom
"C3","0.1u","C_0402_1005Metric",-85.572600,-104.546400,246.500000,bottom
"C4","4.7u","C_0402_1005Metric",-81.920080,-98.963480,180.000000,bottom
"S1","EVQ-P7A01P","SW_EVQ-P7A01P",-89.857580,-93.469460,270.000000,bottom
"S2","EVQ-P7A01P","SW_EVQ-P7A01P",-87.591900,-81.445100,293.500000,bottom
"S3","EVQ-P7A01P","SW_EVQ-P7A01P",-87.612220,-105.486200,246.500000,bottom
