Ref,Val,Package,PosX,PosY,Rot,Side
"R21","120E","R_0402_1005Metric",76.885800,-98.425000,0.000000,top
"R22","10K","R_0402_1005Metric",76.911200,-87.884000,180.000000,top
"R23","10K","R_0402_1005Metric",64.033400,-88.163400,0.000000,top
"R24","120E","R_0402_1005Metric",76.911200,-88.900000,0.000000,top
"R25","120E","R_0402_1005Metric",64.031000,-89.255600,180.000000,top
"R26","10K","R_0402_1005Metric",71.577200,-86.207600,180.000000,top
"R27","120E","R_0402_1005Metric",69.316600,-86.207600,180.000000,top
"R28","0E","R_0402_1005Metric",82.016600,-93.472000,90.000000,top
"R29","0E","R_0402_1005Metric",78.308200,-85.674200,180.000000,top
"R30","0E","R_0402_1005Metric",78.308200,-101.346000,0.000000,top
"R31","0E","R_0402_1005Metric",62.636400,-101.346000,0.000000,top
"R32","0E","R_0402_1005Metric",70.457200,-82.270600,180.000000,top
"R33","0E","R_0402_1005Metric",59.080400,-93.472000,90.000000,top
"U1","ATmega328PB-MU","QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm",75.844400,-93.497400,0.000000,top
